sample_id,crop_label,N,P,K,pH,soil_moisture,temperature,humidity,rainfall,solar_radiation,elevation,irrigation,previous_crop
S1094263,barley,0.377,39.12,223.25,5.85,17.22,10.07,69.86,212.27,15.23,1961.98,irrigated,rice
S1074851,maize,0.367,50.03,222.88,6.1,9.35,17.03,47.79,555.66,14.08,508.44,irrigated,vegetable
S1048672,sugarcane,0.429,47.64,187.54,6.73,21.4,11.92,58.4,643.85,17.85,1757.88,rainfed,wheat
S1000101,lentil,0.364,41.7,87.22,7.38,9.89,15.03,63.7,73.61,17.24,1591.03,irrigated,rice
S1094519,maize,0.278,23.78,184.78,5.64,10.48,24.87,70.61,242.95,15.75,105.82,rainfed,vegetable
S1073146,soybean,0.215,32.04,239.23,5.1,14.3,14.66,100.0,652.58,23.5,1427.02,rainfed,fallow
S1069340,potato,0.207,40.51,244.73,6.65,15.48,8.3,58.07,753.9,23.2,1197.53,rainfed,pulses
S1092567,wheat,0.379,35.53,250.51,6.27,20.37,23.7,64.57,474.2,16.38,329.96,rainfed,fallow
S1005034,lentil,0.282,25.29,230.6,6.78,9.33,22.36,67.66,259.94,27.79,415.64,rainfed,pulses
S1097255,maize,0.431,44.46,164.83,5.47,11.38,18.27,63.95,280.96,13.77,1148.42,irrigated,pulses
S1063418,rice,0.193,24.42,158.94,5.84,10.31,24.05,54.32,374.02,16.5,397.15,irrigated,pulses
S1069709,soybean,0.513,44.74,209.26,6.05,8.61,22.98,63.91,1635.65,22.36,1754.6,irrigated,fallow
S1024147,maize,0.272,30.84,181.24,5.32,5.75,20.93,83.79,74.85,14.32,106.36,irrigated,rice
S1015368,maize,0.542,48.86,287.42,8.16,24.6,24.57,53.94,391.44,16.68,10.06,irrigated,vegetable
S1014701,lentil,0.231,9.23,135.11,6.48,2.13,23.63,38.21,80.94,18.43,30.02,irrigated,wheat
S1090877,rice,0.167,40.13,114.1,7.5,18.3,16.55,69.69,340.94,20.57,1904.19,rainfed,wheat
S1066424,soybean,0.456,39.44,209.57,5.8,9.99,15.18,43.61,187.05,12.23,2080.67,rainfed,maize
S1010912,wheat,0.352,26.85,306.25,7.0,18.45,15.51,48.7,155.94,22.48,506.16,rainfed,vegetable
S1068632,wheat,0.225,34.63,53.24,5.89,17.1,25.59,40.18,300.94,30.0,1100.08,rainfed,maize
S1061995,wheat,0.495,52.08,270.09,7.09,20.67,21.39,54.25,62.57,23.11,575.19,rainfed,rice
S1009724,sugarcane,0.373,23.77,150.4,7.82,8.22,32.58,41.02,72.03,16.44,345.69,irrigated,rice
S1081347,wheat,0.386,30.09,161.15,5.93,9.86,13.92,49.03,674.82,24.97,745.43,rainfed,vegetable
S1072935,lentil,0.201,46.49,113.02,6.26,16.08,4.73,84.76,26.56,14.84,2266.39,irrigated,vegetable
S1012266,barley,0.326,25.68,179.39,5.87,13.27,22.3,64.32,80.58,23.77,98.48,rainfed,rice
S1090317,millet,0.203,41.35,189.65,6.18,4.12,10.49,78.69,250.55,18.37,1553.32,irrigated,wheat
S1003112,lentil,0.194,10.15,248.47,7.56,9.38,6.15,54.58,377.52,21.46,1785.13,rainfed,maize
S1069545,mustard,0.523,30.49,145.98,4.8,14.25,18.91,65.89,25.19,20.73,180.99,rainfed,pulses
S1007217,millet,0.246,27.4,152.81,6.38,11.9,3.68,72.08,381.17,25.04,1786.76,irrigated,vegetable
S1036557,rice,0.404,28.61,233.13,6.51,4.83,22.37,79.01,69.79,14.25,1114.17,irrigated,fallow
S1041266,mustard,0.25,27.82,141.0,7.37,0.79,23.86,48.02,77.12,14.59,131.11,irrigated,maize
S1058558,rice,0.393,49.56,195.04,6.77,13.17,27.26,63.03,443.73,23.4,429.78,rainfed,maize
S1034401,wheat,0.313,40.55,128.54,6.45,10.37,15.2,56.32,299.26,19.52,100.42,rainfed,vegetable
S1081054,rice,0.464,39.42,248.56,5.41,19.52,33.65,51.84,302.96,13.38,30.03,irrigated,maize
S1046864,millet,0.399,33.98,230.52,7.06,13.96,8.57,92.03,25.85,15.33,2216.18,rainfed,wheat
S1033029,potato,0.183,15.6,124.81,6.18,14.99,14.24,89.13,29.23,18.9,2275.68,rainfed,pulses
S1090019,rice,0.405,48.92,248.31,5.78,0.27,21.5,56.92,85.67,14.98,749.22,irrigated,wheat
S1018755,rice,0.477,42.5,112.77,7.5,12.8,19.86,71.36,279.33,19.15,543.54,rainfed,wheat
S1019783,rice,0.2,41.58,166.46,6.49,10.62,25.18,54.01,835.66,15.97,44.09,irrigated,maize
S1039176,potato,0.421,22.08,158.59,6.19,21.49,5.39,54.49,468.07,14.44,1864.61,rainfed,wheat
S1018621,wheat,0.361,25.01,179.1,6.97,14.9,18.54,71.27,386.61,16.71,1560.07,irrigated,fallow
S1067099,wheat,0.363,37.71,205.64,5.56,7.71,19.27,71.53,184.98,15.65,2392.96,rainfed,rice
S1061216,wheat,0.279,15.88,144.87,6.3,8.43,15.36,53.62,527.18,16.33,2427.72,rainfed,fallow
S1077897,mustard,0.199,37.11,256.23,7.19,14.49,9.97,52.53,245.31,21.66,2190.12,rainfed,vegetable
S1004009,barley,0.471,34.11,317.1,6.83,7.41,16.72,72.5,197.8,21.26,141.7,rainfed,rice
S1002997,barley,0.349,41.62,177.45,5.54,15.53,34.78,60.29,276.86,16.08,774.47,rainfed,wheat
S1044097,wheat,0.328,27.53,250.52,7.11,17.04,11.77,52.51,671.15,22.88,1872.89,rainfed,wheat
S1043602,mustard,0.428,61.1,237.2,6.65,1.64,15.76,70.52,296.57,20.21,85.99,rainfed,vegetable
S1029887,rice,0.424,38.65,262.04,6.16,20.34,9.95,60.74,443.31,17.87,1187.94,rainfed,maize
S1046395,lentil,0.268,26.22,238.43,7.39,10.53,13.16,44.11,362.91,15.69,1612.67,irrigated,pulses
S1048816,rice,0.462,36.35,257.81,4.97,11.96,19.69,42.31,256.34,20.56,335.38,rainfed,fallow
S1065357,mustard,0.486,38.5,236.72,5.04,3.72,23.14,50.53,58.85,18.45,606.6,irrigated,vegetable
S1092531,lentil,0.504,29.89,270.15,7.94,18.49,15.95,69.42,550.24,16.96,1855.62,irrigated,maize
S1047149,lentil,0.063,33.63,137.97,6.63,11.28,22.13,36.11,53.93,18.18,447.15,rainfed,vegetable
S1021968,lentil,0.225,20.54,110.96,7.24,14.23,4.4,78.88,564.06,17.99,2292.63,rainfed,vegetable
S1055446,wheat,0.189,12.94,189.27,5.47,17.92,16.21,42.33,120.75,17.87,968.43,rainfed,fallow
S1070087,millet,0.304,42.99,212.62,6.76,2.49,9.29,75.89,212.76,20.7,1261.47,irrigated,maize
S1069022,barley,0.335,20.78,142.84,4.51,10.95,22.18,84.33,320.48,22.24,1130.71,rainfed,wheat
S1086965,sugarcane,0.181,32.32,156.19,6.2,11.42,13.29,18.66,117.03,15.34,795.1,rainfed,pulses
S1079989,barley,0.407,42.52,277.68,6.84,2.53,21.26,63.48,247.26,24.76,118.81,irrigated,wheat
S1027471,rice,0.36,29.22,305.97,8.6,11.29,-0.76,94.76,135.86,22.14,2445.51,irrigated,maize
S1020682,rice,0.302,21.4,218.26,6.61,18.61,4.37,48.51,385.76,16.17,1195.41,rainfed,vegetable
S1032178,lentil,0.298,14.97,187.59,7.03,17.89,21.29,79.43,469.56,17.02,738.36,rainfed,fallow
S1097562,lentil,0.432,23.01,306.65,6.18,19.68,6.77,51.03,148.61,24.91,2213.91,rainfed,rice
S1002098,rice,0.329,34.4,208.83,6.17,11.66,1.24,78.55,195.33,22.52,1994.79,rainfed,rice
S1053916,maize,0.59,32.91,200.29,6.5,20.49,17.15,67.45,698.59,15.59,1098.8,rainfed,wheat
S1051937,rice,0.175,26.98,177.85,5.64,6.09,13.97,63.18,268.66,19.96,1636.81,irrigated,wheat
S1090411,mustard,0.354,19.38,96.41,5.52,25.63,17.31,59.67,212.84,19.81,851.9,rainfed,pulses
S1003136,barley,0.23,44.78,225.27,7.14,1.31,19.0,64.13,308.4,17.14,1857.2,rainfed,pulses
S1087389,maize,0.239,39.22,201.06,6.54,8.44,15.7,39.65,342.45,20.08,957.28,rainfed,fallow
S1025141,wheat,0.538,30.69,203.82,6.74,9.36,19.89,39.94,400.16,17.52,1542.54,rainfed,wheat
S1080062,lentil,0.307,23.69,284.92,6.03,8.6,7.95,67.28,164.94,15.8,1946.01,irrigated,rice
S1024896,barley,0.245,35.77,97.78,6.33,0.1,24.66,52.98,187.23,9.89,1422.41,rainfed,vegetable
S1009434,maize,0.442,22.5,131.97,7.13,14.15,21.96,88.5,310.16,11.92,743.73,rainfed,vegetable
S1014311,mustard,0.305,28.78,42.4,5.69,7.46,21.05,56.99,253.71,21.69,987.87,rainfed,pulses
S1007108,mustard,0.546,34.93,211.7,5.88,10.9,22.71,60.53,199.31,20.38,2203.71,rainfed,pulses
S1052353,lentil,0.203,43.45,210.02,6.55,12.24,14.36,57.24,9.95,24.75,1751.47,rainfed,wheat
S1029845,wheat,0.219,33.05,250.74,6.56,8.87,11.79,68.66,539.62,15.18,827.6,rainfed,pulses
S1069782,soybean,0.456,25.23,164.78,6.17,4.15,23.93,68.1,87.04,14.48,1300.73,rainfed,rice
S1053789,rice,0.285,48.85,239.65,7.57,7.7,24.17,57.24,306.65,20.15,13.96,irrigated,fallow
S1022023,wheat,0.311,45.5,164.52,7.35,8.51,12.91,53.46,116.22,21.1,2006.26,rainfed,pulses
S1020308,maize,0.255,36.91,228.4,5.81,15.12,13.9,61.68,490.67,18.18,1344.08,rainfed,maize
S1080092,barley,0.341,33.64,191.28,6.99,9.79,3.55,60.66,108.21,19.16,2421.84,rainfed,maize
S1010744,mustard,0.352,23.31,198.9,5.86,10.28,17.08,77.32,181.9,21.39,1128.87,rainfed,vegetable
S1067030,barley,0.413,34.22,256.7,5.1,8.95,14.72,79.25,195.26,17.31,1534.84,rainfed,vegetable
S1072039,potato,0.437,58.71,201.13,5.1,6.91,22.11,65.94,534.23,9.24,2390.86,irrigated,vegetable
S1068564,maize,0.472,30.98,239.04,7.6,16.47,16.66,67.81,1008.84,14.72,777.51,rainfed,rice
S1046990,potato,0.372,43.68,137.93,7.74,3.49,5.62,72.17,236.46,18.13,1409.43,irrigated,rice
S1060097,lentil,0.304,26.2,185.28,7.43,14.91,19.62,73.98,258.61,19.21,1055.08,rainfed,pulses
S1003229,rice,0.388,21.58,179.09,6.07,13.58,26.94,51.19,557.99,19.03,555.9,irrigated,maize
S1076761,wheat,0.356,40.74,276.02,5.33,17.74,14.58,64.22,251.5,9.85,2080.04,rainfed,wheat
S1057476,barley,0.411,25.04,101.03,7.82,11.3,15.58,63.42,464.33,16.1,1917.18,irrigated,wheat
S1025459,sugarcane,0.507,51.03,180.02,4.35,2.12,12.38,54.14,574.31,10.22,1967.64,rainfed,rice
S1029435,barley,0.199,25.06,189.71,7.07,13.27,12.96,54.93,73.82,22.48,2328.24,rainfed,pulses
S1013166,rice,0.295,45.25,245.02,6.1,11.74,15.8,68.75,197.86,21.76,989.17,rainfed,pulses
S1008020,rice,0.337,40.75,200.35,7.15,17.17,20.59,53.97,150.23,19.94,1244.67,rainfed,maize
S1036921,sugarcane,0.3,41.13,65.37,5.88,14.8,4.94,55.57,158.49,12.35,1933.73,irrigated,wheat
S1020807,rice,0.245,25.68,160.94,5.22,0.1,19.78,71.36,322.62,19.05,1618.99,irrigated,wheat
S1029323,barley,0.309,34.12,224.65,7.92,15.85,14.86,78.12,123.53,13.02,2476.41,rainfed,rice
S1048297,barley,0.346,21.74,139.2,5.75,6.84,18.61,41.63,801.4,14.96,1331.32,rainfed,maize
S1088042,potato,0.214,33.78,64.57,5.36,7.56,40.17,66.71,563.91,19.58,224.71,rainfed,rice
S1000151,rice,0.419,22.67,230.69,6.16,12.51,20.97,35.56,356.35,12.14,598.9,irrigated,maize
S1032495,rice,0.44,34.99,248.35,5.49,1.87,17.36,59.38,405.91,24.23,1705.45,irrigated,pulses
S1012734,millet,0.2,26.47,227.84,5.75,14.65,15.61,62.09,72.98,15.49,646.6,rainfed,fallow
S1022493,soybean,0.361,26.65,130.31,6.84,12.48,3.58,46.26,1017.73,17.14,1868.95,irrigated,vegetable
S1099474,maize,0.125,49.25,90.66,4.9,14.94,25.38,73.8,232.58,12.37,121.78,rainfed,vegetable
S1095296,wheat,0.146,31.32,82.05,5.91,8.41,16.66,54.83,494.16,13.11,1715.53,irrigated,pulses
S1004505,barley,0.063,17.98,10.0,6.09,5.41,17.02,67.37,203.73,22.51,714.06,rainfed,wheat
S1002644,rice,0.525,38.16,140.2,5.99,6.03,33.08,84.87,829.18,12.16,120.47,rainfed,rice
S1009983,wheat,0.251,42.49,156.46,6.58,13.14,11.69,74.72,215.21,16.52,2274.56,irrigated,vegetable
S1071097,wheat,0.301,40.26,147.88,6.61,17.92,6.85,42.81,110.61,16.16,1534.58,rainfed,wheat
S1059725,potato,0.158,26.57,93.77,5.41,12.28,18.53,68.79,330.35,18.73,333.36,rainfed,rice
S1081267,maize,0.057,15.24,175.5,7.6,9.65,22.26,64.02,352.11,13.92,1144.94,irrigated,maize
S1094850,wheat,0.399,42.39,169.05,5.83,13.57,25.62,60.24,151.82,16.28,724.5,rainfed,vegetable
S1054944,mustard,0.172,30.84,208.42,6.61,10.56,-1.49,43.35,152.32,25.84,2176.43,irrigated,maize
S1064380,wheat,0.464,27.61,211.11,6.18,22.98,5.74,56.28,68.04,15.93,1711.33,rainfed,pulses
S1066140,mustard,0.339,39.02,285.9,6.84,25.09,32.02,74.59,463.36,21.52,1135.23,rainfed,pulses
S1019070,rice,0.312,33.56,152.88,6.52,9.0,25.98,64.57,207.14,21.67,416.83,rainfed,wheat
S1082688,maize,0.406,25.14,266.81,5.58,8.21,17.81,51.39,199.26,14.4,878.82,rainfed,vegetable
S1011293,wheat,0.177,31.62,125.7,6.91,16.13,14.46,41.61,117.07,21.64,1826.77,irrigated,pulses
S1025352,maize,0.093,1.0,124.48,6.31,11.22,16.16,37.74,95.02,23.54,1686.42,irrigated,pulses
S1049758,lentil,0.327,36.81,180.19,6.69,12.31,2.21,75.99,425.65,15.12,2247.61,rainfed,vegetable
S1034502,rice,0.305,14.81,303.28,6.15,20.7,22.62,62.74,716.02,19.99,1489.44,rainfed,vegetable
S1074093,rice,0.563,35.59,188.65,7.42,18.41,20.94,46.58,145.53,23.64,853.87,irrigated,fallow
S1082102,soybean,0.128,23.44,165.88,5.65,12.93,26.22,98.61,21.13,22.14,1814.49,rainfed,pulses
S1081870,wheat,0.262,16.12,248.38,6.93,14.61,10.75,22.48,195.35,21.64,1648.18,rainfed,wheat
S1045274,mustard,0.269,18.13,179.54,6.85,15.45,18.61,46.84,237.44,18.23,1706.5,rainfed,vegetable
S1034119,maize,0.341,34.63,328.82,6.88,4.26,13.85,68.69,321.29,14.15,2242.72,rainfed,pulses
S1045997,mustard,0.172,34.91,190.64,5.32,8.98,17.57,60.96,98.69,16.77,288.84,rainfed,rice
S1016271,mustard,0.313,26.19,159.42,6.66,9.49,15.82,47.17,766.44,11.0,1836.64,rainfed,rice
S1015662,barley,0.115,37.77,179.8,7.83,6.59,10.23,38.75,378.37,16.07,1224.74,rainfed,fallow
S1006836,barley,0.242,47.89,207.12,6.66,8.06,14.74,88.63,351.48,19.86,916.59,irrigated,pulses
S1074914,maize,0.281,32.1,148.05,6.01,6.93,7.49,42.81,610.73,13.44,2436.16,rainfed,maize
S1073281,barley,0.251,43.99,208.17,7.16,16.73,23.71,58.74,114.16,15.99,1309.64,rainfed,vegetable
S1047294,potato,0.28,28.81,223.14,8.18,11.06,17.6,51.0,332.55,20.85,239.02,irrigated,rice
S1042740,sugarcane,0.151,30.06,161.58,6.17,10.27,23.95,72.21,46.58,16.92,1608.83,irrigated,wheat
S1064665,rice,0.409,24.53,207.46,6.47,20.09,32.14,53.89,390.09,17.9,114.21,rainfed,pulses
S1006235,potato,0.255,18.46,317.9,5.6,2.25,12.08,56.47,311.73,16.78,2107.86,rainfed,vegetable
S1098667,soybean,0.433,40.36,209.57,6.45,1.58,23.49,44.14,153.55,23.72,1023.41,irrigated,rice
S1016801,soybean,0.451,24.61,198.01,4.02,9.74,10.76,56.85,662.21,19.26,1749.9,rainfed,rice
S1014731,wheat,0.297,49.61,229.38,6.7,7.51,19.43,63.51,459.0,22.17,313.45,rainfed,maize
S1066265,soybean,0.301,26.72,133.34,6.02,12.08,25.61,65.58,418.59,20.33,1477.32,irrigated,maize
S1073789,barley,0.465,1.54,230.65,7.3,11.28,23.69,55.68,109.6,21.68,1675.83,rainfed,wheat
S1002542,lentil,0.255,27.6,126.92,5.82,8.89,-0.75,63.97,110.4,22.73,2114.8,irrigated,wheat
S1020225,wheat,0.329,28.41,90.54,7.97,11.47,8.14,64.27,331.23,25.33,1059.87,irrigated,fallow
S1067020,lentil,0.34,41.07,87.92,5.67,9.67,14.7,60.43,181.0,16.52,731.34,irrigated,wheat
S1044062,rice,0.289,8.76,99.31,6.54,6.45,21.76,50.19,464.11,12.76,1636.21,rainfed,wheat
S1043317,mustard,0.141,32.17,231.97,5.53,6.88,13.46,61.44,200.64,23.69,293.57,rainfed,rice
S1069632,soybean,0.091,43.75,118.37,5.95,16.53,18.95,70.38,909.22,13.38,1490.89,rainfed,vegetable
S1038702,barley,0.35,31.08,87.34,6.96,9.23,15.85,61.95,288.84,24.71,412.46,irrigated,maize
S1016009,lentil,0.185,25.2,249.67,7.17,15.93,8.39,24.81,110.84,20.4,949.89,irrigated,wheat
S1041197,wheat,0.46,33.79,250.72,6.49,16.49,18.67,28.06,260.34,21.97,201.75,rainfed,rice
S1089447,lentil,0.208,38.46,104.34,6.86,18.49,18.62,44.94,147.11,23.18,1956.63,rainfed,rice
S1063473,wheat,0.381,40.6,175.87,7.52,15.88,19.3,48.18,144.39,16.63,1180.84,irrigated,fallow
S1022882,lentil,0.071,24.09,252.62,6.83,10.69,20.04,73.78,21.1,17.61,1287.03,rainfed,vegetable
S1049870,wheat,0.267,18.97,212.34,7.9,10.13,15.81,78.07,98.57,20.58,684.76,irrigated,pulses
S1039966,lentil,0.275,29.29,240.86,6.49,3.25,14.12,61.88,523.73,22.14,2123.7,rainfed,wheat
S1054900,rice,0.218,40.33,138.98,7.15,9.22,14.74,57.04,377.79,15.03,73.74,rainfed,pulses
S1048184,rice,0.399,42.19,126.95,6.53,9.8,10.06,47.14,202.49,20.38,735.08,irrigated,fallow
S1017150,millet,0.192,42.8,221.92,6.01,8.13,11.88,80.03,422.84,17.66,1264.41,irrigated,vegetable
S1035805,wheat,0.413,56.73,190.85,4.51,17.25,28.04,67.76,288.61,17.8,168.12,rainfed,rice
S1047104,sugarcane,0.36,47.54,112.26,6.65,14.63,17.29,63.8,135.03,14.09,611.05,irrigated,maize
S1080430,sugarcane,0.101,20.08,141.74,6.93,8.12,23.86,79.44,304.47,21.34,405.86,irrigated,vegetable
S1084746,lentil,0.135,42.43,220.77,6.63,1.25,22.01,43.34,235.87,13.08,1246.72,rainfed,wheat
S1026864,lentil,0.396,46.24,175.32,5.56,13.64,19.2,60.91,401.05,21.25,2007.12,rainfed,rice
S1052071,potato,0.354,34.97,268.43,5.44,16.72,3.25,67.69,111.28,15.33,2424.5,irrigated,maize
S1031372,barley,0.13,18.43,178.22,6.27,17.28,17.46,52.27,725.27,20.62,462.22,irrigated,maize
S1059296,lentil,0.368,41.57,139.76,6.17,7.65,19.15,51.77,607.61,18.85,1303.59,irrigated,vegetable
S1022613,potato,0.436,38.77,239.24,5.83,14.1,28.63,74.73,392.85,23.63,1.27,rainfed,wheat
S1075052,wheat,0.508,37.12,74.45,5.18,10.49,19.54,53.71,198.55,17.54,1302.0,irrigated,rice
S1059963,soybean,0.197,31.36,218.48,6.41,5.5,18.67,71.61,534.81,14.79,1477.05,rainfed,fallow
S1048682,wheat,0.464,23.51,181.85,7.01,11.62,4.33,82.29,448.79,12.72,1789.33,rainfed,pulses
S1021995,barley,0.336,40.85,127.58,7.02,3.93,14.25,50.17,522.7,20.04,1145.35,irrigated,fallow
S1018122,millet,0.228,6.1,143.96,6.05,18.02,14.19,42.71,144.5,23.36,1908.12,rainfed,rice
S1080350,rice,0.365,27.62,215.84,6.12,15.66,15.96,75.57,108.08,13.82,2430.28,rainfed,vegetable
S1069670,soybean,0.459,25.83,184.08,5.29,7.21,9.07,84.79,332.46,20.59,2496.5,irrigated,rice
S1081983,maize,0.272,41.95,163.62,5.3,11.55,16.12,37.7,294.22,16.83,1935.21,irrigated,maize
S1069465,rice,0.379,30.67,109.96,7.54,9.76,23.12,59.87,306.9,15.28,794.55,irrigated,pulses
S1033838,barley,0.239,12.04,204.22,6.29,20.7,11.85,42.47,409.77,17.43,1441.98,irrigated,wheat
S1048274,wheat,0.286,28.55,185.19,6.18,4.31,21.96,49.89,67.68,15.35,891.09,irrigated,wheat
S1038307,sugarcane,0.29,39.62,187.59,6.35,6.23,8.68,44.55,204.03,18.45,1411.7,rainfed,rice
S1089148,rice,0.391,42.1,150.05,6.76,10.87,7.66,45.66,37.01,17.18,1644.55,irrigated,pulses
S1070989,wheat,0.387,32.63,146.47,6.91,13.22,15.38,67.12,274.74,16.67,1528.28,irrigated,rice
S1031595,maize,0.407,22.32,175.64,6.52,10.04,17.84,56.43,333.34,17.15,2038.44,rainfed,vegetable
S1077490,maize,0.278,25.72,60.66,6.97,16.28,27.8,39.35,480.6,14.89,764.48,rainfed,wheat
S1033009,rice,0.38,57.62,247.6,5.55,11.87,34.04,71.38,158.67,13.73,276.69,irrigated,vegetable
S1045383,rice,0.537,48.47,114.3,6.61,5.02,26.51,93.2,196.07,13.18,55.35,irrigated,rice
S1037199,rice,0.175,53.62,244.8,5.92,12.08,24.59,100.0,328.53,16.39,1465.43,irrigated,fallow
S1096591,wheat,0.342,12.75,117.38,5.17,6.8,21.27,46.07,488.13,24.6,831.7,irrigated,rice
S1017415,millet,0.308,42.92,203.62,6.28,9.48,15.75,34.18,40.19,21.08,2299.75,rainfed,wheat
S1076480,rice,0.296,39.37,211.87,5.69,10.91,27.59,43.76,76.78,22.04,113.07,rainfed,pulses
S1006741,sugarcane,0.542,43.43,126.98,7.27,14.11,22.08,69.92,293.94,9.86,283.11,irrigated,rice
S1069347,maize,0.097,42.17,112.38,6.21,20.83,27.8,63.6,619.19,14.45,342.29,irrigated,vegetable
S1090657,rice,0.322,34.96,161.19,6.22,8.79,25.58,80.85,51.21,12.8,77.01,rainfed,vegetable
S1079097,wheat,0.476,51.64,208.03,6.75,16.29,31.14,69.36,64.43,15.15,643.44,rainfed,rice
S1091114,sugarcane,0.167,28.74,152.75,5.06,6.09,16.88,72.61,197.29,19.02,1274.23,irrigated,pulses
S1093166,maize,0.463,47.3,222.22,5.84,6.5,3.01,88.35,483.23,14.19,2482.52,irrigated,fallow
S1068293,soybean,0.15,4.58,191.4,5.89,8.5,26.21,40.4,1061.34,15.4,328.03,rainfed,rice
S1076149,mustard,0.23,24.65,93.76,7.51,17.4,11.4,56.95,237.2,15.21,1713.61,rainfed,wheat
S1022127,mustard,0.208,37.25,117.43,6.28,3.91,11.11,53.45,165.86,13.82,2405.65,irrigated,vegetable
S1031880,lentil,0.198,44.97,200.77,7.15,4.91,20.53,45.58,260.57,15.77,69.4,rainfed,vegetable
S1053310,soybean,0.011,29.25,63.48,5.92,8.16,20.85,33.59,160.63,18.63,1126.44,rainfed,wheat
S1089602,potato,0.528,49.56,223.42,8.1,16.42,19.68,64.56,261.12,20.88,1306.76,rainfed,fallow
S1028642,wheat,0.284,44.62,272.85,6.15,4.38,5.53,71.61,458.51,18.85,2097.16,irrigated,pulses
S1089380,sugarcane,0.348,25.01,153.76,6.9,19.92,12.2,74.06,345.62,17.35,1412.53,rainfed,fallow
S1014005,wheat,0.296,43.08,164.22,7.03,10.3,21.21,50.88,185.13,19.88,2290.68,rainfed,wheat
S1047944,millet,0.215,17.55,123.89,6.42,13.6,18.5,52.18,147.0,17.38,1495.49,irrigated,pulses
S1008561,soybean,0.37,38.09,161.73,6.46,12.11,16.44,34.55,338.53,18.21,2243.55,rainfed,wheat
S1002522,soybean,0.237,28.69,154.15,6.17,14.36,22.13,72.14,240.0,18.44,748.49,irrigated,maize
S1058131,rice,0.511,38.64,222.57,7.33,15.54,18.37,57.19,539.45,20.42,454.69,rainfed,pulses
S1044266,maize,0.215,34.96,231.88,5.6,18.61,16.83,46.23,387.75,16.28,1691.91,rainfed,wheat
S1053670,sugarcane,0.424,27.38,73.17,7.86,17.75,11.75,46.62,483.68,18.84,1047.45,irrigated,pulses
S1069571,mustard,0.286,47.77,171.18,6.18,17.37,1.8,55.35,165.42,14.6,434.27,rainfed,vegetable
S1096115,rice,0.293,28.39,182.81,5.96,10.58,13.07,37.58,580.72,21.34,131.9,irrigated,maize
S1097593,barley,0.2,50.4,165.97,7.12,17.28,27.7,40.45,376.07,14.12,107.86,rainfed,rice
S1079243,rice,0.386,55.13,286.02,6.04,19.46,10.87,99.34,443.42,15.31,2181.05,irrigated,wheat
S1022782,soybean,0.325,50.58,289.07,5.75,6.86,20.04,50.27,330.41,14.27,662.13,rainfed,vegetable
S1098604,lentil,0.305,45.34,231.31,7.68,6.52,33.64,47.5,375.68,18.55,269.96,rainfed,pulses
S1059822,sugarcane,0.37,47.85,161.48,6.46,10.49,26.11,75.54,256.22,21.93,1170.05,irrigated,maize
S1007423,millet,0.202,35.65,186.56,7.65,11.65,10.44,72.38,82.09,14.83,1039.44,rainfed,wheat
S1044878,rice,0.236,35.44,248.46,8.13,2.95,30.51,90.74,259.85,14.54,304.74,rainfed,pulses
S1015480,maize,0.393,21.03,143.25,5.73,0.95,26.89,77.24,176.16,17.15,1515.08,irrigated,maize
S1042867,maize,0.267,41.42,222.66,6.28,8.12,16.42,53.79,330.48,13.87,504.22,rainfed,pulses
S1090358,millet,0.177,34.51,75.44,6.08,4.45,27.51,62.04,240.45,20.54,255.76,rainfed,rice
S1045338,mustard,0.352,18.92,173.38,6.09,17.91,25.89,65.87,103.01,18.73,864.85,irrigated,pulses
S1082648,wheat,0.35,26.23,91.46,7.13,10.12,8.2,43.05,471.37,23.07,793.66,irrigated,pulses
S1036140,wheat,0.034,21.35,90.91,7.05,2.45,24.33,32.43,384.66,19.97,526.35,rainfed,maize
S1087384,rice,0.545,50.01,189.45,6.47,3.6,4.7,51.28,277.69,25.0,2325.89,irrigated,vegetable
S1056654,rice,0.428,26.18,252.74,5.99,9.86,17.42,62.45,118.19,18.45,2358.85,irrigated,rice
S1013203,rice,0.416,27.13,258.62,6.44,13.06,18.17,75.73,525.12,23.37,2062.35,irrigated,maize
S1032025,mustard,0.138,24.75,133.48,7.33,13.49,5.38,81.49,182.82,17.38,1872.45,irrigated,fallow
S1090597,barley,0.378,47.98,84.3,8.25,7.94,12.54,78.48,416.63,16.87,1601.19,rainfed,vegetable
S1062628,wheat,0.387,39.74,227.42,7.35,7.32,12.21,23.11,196.06,15.06,1236.33,irrigated,pulses
S1016606,rice,0.154,26.81,102.24,5.66,18.02,16.58,54.69,473.92,15.65,1504.41,rainfed,rice
S1082795,millet,0.216,24.9,223.25,5.69,11.17,12.6,56.31,133.29,18.99,963.73,rainfed,maize
S1003761,soybean,0.287,31.12,87.1,6.38,10.56,10.01,60.41,128.57,18.03,1837.31,rainfed,fallow
S1038003,rice,0.369,38.98,70.24,6.21,14.31,28.88,59.71,625.12,11.77,547.38,rainfed,wheat
S1058533,barley,0.351,54.19,155.83,6.31,14.31,14.32,29.0,423.44,10.63,1467.29,irrigated,rice
S1008409,lentil,0.234,40.07,85.74,6.08,12.24,12.71,75.75,561.57,14.84,949.9,rainfed,maize
S1091923,maize,0.537,31.03,310.0,6.8,0.1,29.9,58.45,33.24,16.21,338.11,irrigated,wheat
